employment,income,dti,score,amount,tenure,emp_length,delinquencies,savings,utilization,default
1,49670,0.26,682,24689,12,1.7,0,11439.99,0.493,1
1,65668,0.185,737,10646,36,6.1,1,24044.45,0.355,0
1,50142,0.229,735,9695,36,0.3,3,11583.13,0.478,1
0,64535,0.217,704,22057,12,1.4,0,16944.95,0.355,0
1,74955,0.264,711,6751,36,8.8,0,18682.22,0.331,0
0,57934,0.263,748,18042,12,0.3,1,21296.13,0.227,0
1,30999,0.428,628,21387,24,4.2,0,10992.09,0.38,0
1,64330,0.322,775,22511,12,3.6,0,17614.1,0.301,0
0,59572,0.296,716,7199,60,5.8,1,27515.4,0.314,0
1,65501,0.296,681,27377,48,11.7,1,15249.35,0.265,0
1,70302,0.28,699,24868,36,6.2,0,20774.09,0.253,0
1,51046,0.328,736,12540,36,0.4,0,21338.86,0.292,0
0,61746,0.341,740,20414,24,0.4,0,24775.48,0.323,0
1,46882,0.223,728,12618,24,5.5,1,11355.47,0.313,0
0,54764,0.351,601,14131,36,6.4,2,19938.32,0.322,0
0,58492,0.244,719,13155,36,11.4,2,17932.42,0.291,0
1,72806,0.334,682,15687,60,0.2,2,25102.41,0.319,1
1,56364,0.29,712,22434,36,16.6,1,23980.05,0.328,1
0,50635,0.333,707,28402,48,7.3,1,27728.87,0.282,1
0,62103,0.301,723,24205,60,5.1,1,25187.92,0.281,0
0,60298,0.359,691,12243,48,0.8,1,19127.03,0.271,0
0,57025,0.35,721,8120,24,3,2,17397.27,0.369,0
0,65083,0.283,706,10106,36,1.4,1,20822.36,0.328,0
1,62147,0.275,709,18818,36,1.1,0,19741.17,0.285,0
0,34371,0.361,647,14069,36,1.9,2,19872.37,0.579,0
0,53189,0.374,715,7610,36,1.2,1,17816.45,0.297,0
1,50746,0.27,707,9678,48,1.7,0,26478.5,0.353,0
1,48092,0.381,623,10265,48,3.2,2,26649.38,0.423,0
0,60599,0.377,719,13728,48,0.3,1,20745.2,0.25,0
1,42632,0.418,665,28927,12,1.7,1,23453.16,0.496,0
0,47485,0.253,718,22355,36,0.9,3,25620.33,0.267,0
1,57252,0.35,694,15828,24,4.7,0,30374.55,0.223,1
0,65913,0.351,720,22751,36,0.4,2,18729.38,0.247,0
0,72280,0.377,746,25852,36,3.1,0,23445.49,0.287,0
1,64700,0.345,735,18717,12,1.4,3,17865.99,0.347,0
1,70614,0.273,730,27370,36,0.3,2,17007.47,0.365,0
0,64860,0.277,734,28411,36,1.6,1,12376.31,0.216,0
1,63529,0.247,692,21897,48,6.4,1,17335.19,0.454,1
1,68913,0.237,715,20372,36,1.1,1,21666.1,0.301,0
0,44862,0.305,767,5826,24,0.9,1,24861.74,0.26,0
1,45561,0.281,726,12310,36,0.5,1,21153.81,0.282,0
1,6122,0.388,668,17684,24,2.5,3,3330,0.448,1
1,59744,0.291,740,22838,36,0.7,0,23794.23,0.306,0
0,49615,0.248,717,17675,36,2.5,1,22089.48,0.247,0
0,51148,0.356,683,22723,24,1.6,2,26670.87,0.34,1
0,35075,0.422,659,29228,24,0.8,1,15921.28,0.548,0
0,71656,0.222,727,15271,48,6.6,0,16753.69,0.193,0
0,56891,0.318,762,19489,48,2.1,1,23405.68,0.278,0
0,76875,0.285,699,10272,36,10.5,0,24829.38,0.333,0
0,71493,0.297,718,5846,24,5.3,1,29147.57,0.38,0
0,63981,0.287,747,20386,48,5.5,0,29092.55,0.299,0
1,56267,0.325,690,22209,12,3,1,13884.29,0.334,1
1,54457,0.341,673,20534,24,2.3,3,3624.16,0.402,1
0,51491,0.324,740,12616,36,1.3,4,22300.42,0.339,0
1,49849,0.325,740,11331,12,6,1,20780.16,0.272,0
0,67935,0.327,701,8899,36,9.5,1,20365.59,0.309,0
0,80024,0.392,669,20281,36,5.1,1,20882.49,0.3,1
1,70041,0.293,659,26078,48,0.9,2,14224.79,0.4,1
0,66988,0.277,722,27846,12,2.1,0,22224.96,0.317,0
0,60130,0.331,719,12812,48,15.2,1,15568.59,0.427,0
0,45075,0.332,705,28573,24,8,3,19397.7,0.281,0
0,64726,0.298,734,15011,36,6.9,1,19139.8,0.286,0
0,48570,0.301,733,25658,12,0.6,0,12024.38,0.167,0
1,55100,0.56,632,19268,12,2.5,0,22379.9,0.423,0
1,63933,0.277,680,6874,60,5.1,2,21568.22,0.256,0
0,39316,0.31,727,15407,24,18.9,0,21025.29,0.311,0
1,52968,0.277,725,14379,36,8.6,0,15369.63,0.26,0
0,38467,0.331,676,11116,60,7.1,0,20075.75,0.246,1
1,52953,0.34,737,18104,24,4.4,1,22282.77,0.349,0
1,54086,0.256,737,19083,36,0,4,25793.76,0.292,0
0,78566,0.281,743,25278,36,0.1,2,19636.73,0.333,0
0,57296,0.257,728,19153,48,1.1,0,23545.82,0.275,0
1,69757,0.287,685,29723,48,4.5,0,12235.61,0.353,0
0,54806,0.233,717,12079,36,8.6,0,17046.05,0.263,0
0,58018,0.355,690,11591,36,1,0,8394.64,0.255,1
1,55956,0.289,718,23385,48,0.4,1,19054.93,0.303,0
0,53018,0.305,705,21858,36,5.2,1,8243.91,0.234,0
0,46838,0.488,722,9394,36,0.8,2,12123.9,0.413,1
0,58147,0.225,751,9164,60,0.9,2,15380.61,0.247,0
1,65056,0.257,683,11763,48,3.7,1,25587.32,0.432,1
0,64912,0.333,689,19360,48,3.1,0,22346.21,0.332,1
0,62705,0.3,692,20256,36,7.6,1,22960.07,0.353,1
0,57152,0.26,690,10229,12,2.2,1,24015.49,0.226,0
1,28658,0.299,647,27573,36,0.9,1,10689,0.581,0
1,59148,0.397,645,15966,36,4.4,1,33611.82,0.444,0
0,62961,0.358,721,14430,48,1.6,0,19934.9,0.335,1
0,62681,0.329,689,23675,48,9.9,0,21573.39,0.274,1
0,52832,0.349,747,16166,24,2.8,1,15150.12,0.362,0
0,61512,0.223,703,15203,12,0.4,5,32444.7,0.463,1
0,67519,0.301,700,16568,36,3.9,1,10934.11,0.3,0
0,52065,0.24,722,28986,12,0.2,3,25692.65,0.444,0
1,61443,0.277,721,29229,24,2.7,1,20376.79,0.227,0
0,49423,0.339,751,27270,48,2.9,0,18536.21,0.291,0
0,43448,0.296,747,29713,12,1.4,0,15045.08,0.305,0
0,64423,0.332,653,12813,36,2.1,2,24097.26,0.257,1
0,48096,0.313,640,19192,12,4.9,1,23646.97,0.319,1
0,55323,0.375,699,20042,24,4.6,1,11311.73,0.36,0
0,69343,0.337,737,29241,36,4.1,0,20936.4,0.248,0
0,49139,0.26,696,12104,48,6.4,1,20666.26,0.298,0
0,68372,0.275,705,14857,48,7.1,0,24221.64,0.278,0
0,68173,0.327,708,5385,24,1.3,3,18754.65,0.364,0
1,58763,0.321,733,18979,60,10.2,1,16898.36,0.303,0
1,47063,0.38,641,13641,24,1.2,2,11169.59,0.407,0
0,67241,0.302,744,19438,24,0.5,1,16619.75,0.226,0
1,48743,0.267,698,16359,48,5.3,0,17044.23,0.317,0
0,50213,0.232,696,8133,48,31.2,0,18908.22,0.238,0
1,78523,0.375,691,5721,36,7.9,1,28648.17,0.326,1
0,46810,0.289,743,11136,36,2.6,1,18880.29,0.274,0
0,53137,0.284,732,24587,36,0.4,1,23736.84,0.291,0
0,57083,0.304,757,24621,36,0,2,18641.39,0.312,0
1,50145,0.235,716,8411,24,2.3,0,26137.59,0.239,0
0,52244,0.287,763,10195,48,5.5,1,19439.27,0.31,0
1,64726,0.268,720,27675,24,6.1,1,14621.8,0.25,0
0,58657,0.322,734,12142,48,4.6,2,15176.14,0.276,0
1,78862,0.298,722,20605,12,16.2,2,22514.91,0.341,0
1,44032,0.315,643,27975,24,3,3,10149.05,0.432,1
1,16274,0.34,596,7043,48,7.4,0,2141.55,0.348,0
1,54601,0.408,612,5350,36,5.9,0,24669.73,0.466,0
0,40299,0.255,691,5558,24,13.2,2,17617.13,0.292,0
0,53180,0.209,728,25083,24,2.4,0,12860.45,0.212,0
1,60023,0.384,692,17951,24,6.5,1,18041.49,0.49,1
1,79531,0.396,710,18712,36,14.7,1,18393.5,0.314,0
0,66874,0.301,725,9265,36,25,2,23850.17,0.262,0
1,65193,0.333,696,24402,24,0.9,2,26602.9,0.272,1
1,59791,0.342,708,9079,36,9.2,3,25533.08,0.332,1
1,66979,0.264,744,27757,12,2.2,1,19356.38,0.278,0
1,49195,0.363,632,27329,48,2.7,3,2185.99,0.425,0
0,50644,0.342,727,12351,36,25,1,29924.99,0.325,0
0,65057,0.257,724,21920,36,2,1,14804.5,0.319,1
1,18881,0.376,645,6408,12,8.6,2,11448.8,0.469,0
0,52931,0.319,740,22492,24,2.7,0,19476.69,0.23,0
0,53961,0.262,764,17563,36,3.5,4,15965.23,0.238,0
1,64293,0.214,746,26199,36,0.9,1,21807.37,0.286,0
0,53981,0.364,704,20118,36,8.4,2,18093.22,0.272,0
0,66083,0.241,728,29956,24,1.2,2,15780.54,0.297,0
1,64715,0.335,725,27827,60,0.5,2,13274.62,0.32,0
0,72864,0.31,682,15865,24,4.9,2,20213,0.269,1
1,67904,0.362,749,13803,24,0.8,1,21916.31,0.336,0
0,63991,0.284,700,24155,36,4.8,2,12160.13,0.319,0
0,70016,0.245,703,5173,36,4.5,3,23247.39,0.395,1
1,54868,0.262,771,13582,48,6.2,1,23643.81,0.314,0
0,69294,0.261,714,6494,24,0.3,0,4999.33,0.286,0
0,55500,0.273,727,29428,24,3.8,2,20915.28,0.322,0
1,44377,0.42,584,11720,48,2.5,3,32076,0.448,0
0,55826,0.324,753,17246,36,0.9,3,14983.08,0.274,0
0,60760,0.375,750,24479,60,6.9,2,18939,0.253,0
0,53935,0.366,699,20948,36,11,1,23741.36,0.342,1
0,61281,0.28,696,9622,36,0.5,0,22403.03,0.291,0
0,70095,0.293,754,21830,36,0.6,1,24387.83,0.306,0
0,51536,0.339,742,7276,48,0.3,1,24834.15,0.365,0
0,60362,0.382,625,13577,60,1.3,0,8193.84,0.426,0
0,67746,0.313,720,7245,48,2.7,2,16089.63,0.257,0
1,65862,0.222,742,7311,36,1.7,0,26253.47,0.278,0
0,68296,0.311,621,23857,48,0.7,2,13296.44,0.344,0
0,49185,0.251,718,14836,36,10.7,3,18174.44,0.32,0
0,57216,0.29,679,17855,48,7,0,21026.17,0.268,1
1,60993,0.268,716,19760,36,2.3,0,23801.96,0.241,0
1,63195,0.178,645,18112,36,0,2,21191.12,0.55,0
0,70988,0.435,676,10133,36,10.9,1,16553.67,0.335,1
0,39742,0.271,707,25068,48,14.1,0,21670.56,0.239,0
0,58254,0.28,731,22609,60,9.8,0,14595.09,0.362,0
0,67595,0.292,727,13297,48,3.4,0,15124.71,0.289,0
1,64074,0.611,693,13069,48,5.8,0,14391.3,0.514,1
0,63675,0.308,706,24730,36,3.9,2,17238.35,0.227,0
1,32213,0.313,665,13082,36,3.3,1,6379.62,0.418,1
0,47898,0.301,747,25663,36,5.5,0,22876.68,0.263,0
1,59115,0.312,760,15201,24,2.2,1,20042.98,0.251,0
0,57096,0.26,727,19253,48,2.3,1,16397.97,0.324,0
0,63423,0.25,659,24330,24,2.4,1,20192.97,0.267,1
0,55521,0.257,741,9604,36,1.4,3,17805.85,0.326,0
1,67732,0.296,691,19236,36,10.3,1,20289.38,0.344,1
1,18245,0.559,625,27514,48,0.9,3,20218.51,0.506,0
0,52300,0.25,718,21735,36,5,2,16241.23,0.265,0
1,62625,0.454,653,17517,48,2.3,5,22638.4,0.465,0
0,36131,0.335,763,27013,60,4.5,0,25224.9,0.177,0
0,42450,0.438,686,17195,24,0.1,3,7054.97,0.547,0
1,66091,0.357,754,24846,36,1.6,0,19939.81,0.27,0
1,82724,0.216,719,5926,48,1.1,2,13385.88,0.226,0
1,53802,0.361,681,5923,36,7.9,3,16248.66,0.32,1
0,65698,0.348,670,27801,36,6.4,1,23992.14,0.275,1
0,75512,0.297,672,22075,24,2.1,4,20587.32,0.295,0
1,50074,0.25,733,5820,12,0.5,1,27886.78,0.271,0
0,57765,0.318,715,29101,36,1.7,1,19446.8,0.265,0
0,61762,0.419,668,5216,36,3.6,1,18123.83,0.306,1
1,70294,0.367,678,17804,24,5,1,28638.64,0.267,0
0,68701,0.353,713,16832,48,2.6,1,16601.06,0.308,0
1,67568,0.361,711,29646,36,0.4,0,13809.47,0.329,1
0,61294,0.226,717,5757,24,1.4,0,20218.14,0.268,0
0,27742,0.254,651,17209,24,1.2,0,22047.47,0.403,0
0,77231,0.27,743,14001,24,0.2,1,26054.14,0.365,0
1,53251,0.268,745,18516,36,0.3,0,19136.69,0.26,0
1,57803,0.265,715,26253,48,1.6,0,19702,0.289,0
0,54876,0.378,708,24068,60,7.9,1,25907.02,0.351,1
1,43864,0.317,741,21875,12,7.8,1,22547.63,0.3,0
1,74775,0.341,748,26140,24,6.3,1,20578.32,0.341,0
0,46167,0.356,688,5686,36,2.4,1,19698.27,0.367,1
0,47307,0.265,691,29531,36,6.2,0,20338.91,0.404,1
1,70384,0.304,732,29831,12,4.8,1,22082.66,0.34,0
0,51543,0.31,698,15034,24,0.6,1,29069.46,0.339,1
0,68533,0.339,753,22667,12,4,1,23694.23,0.245,0
0,52979,0.295,703,24317,48,2,1,16731.72,0.386,1
1,22243,0.481,701,13129,36,1.4,1,11725.81,0.485,1
0,77409,0.322,697,11790,48,4.7,1,18492.68,0.269,0
1,65519,0.269,736,15204,36,3.9,1,18134.51,0.253,0
0,54909,0.261,696,10474,12,2.2,2,19385.53,0.357,0
0,50299,0.228,717,14454,60,0.9,0,21642.17,0.334,0
1,31346,0.385,643,13607,36,2.2,2,16191.1,0.501,0
0,58927,0.341,741,15981,36,11.1,2,18408.78,0.351,0
1,59243,0.181,765,23215,48,2.6,2,15830.32,0.311,0
0,57437,0.41,679,21000,60,0.6,0,29292.18,0.292,1
0,61606,0.283,694,11080,36,0.3,0,31188.44,0.313,0
1,47477,0.334,620,16381,12,1.4,3,18141.43,0.497,0
0,49706,0.304,751,7274,60,3.7,2,8970.51,0.318,0
0,45599,0.276,707,9469,36,3.4,2,22632.73,0.278,0
0,45637,0.274,689,12373,12,2.8,0,23015.29,0.352,1
1,56617,0.537,676,19623,12,0.8,3,4707.2,0.533,0
0,60828,0.257,712,13116,12,1.5,2,22943.95,0.348,0
0,63733,0.377,726,17545,24,10.9,2,17848.61,0.304,0
0,35758,0.329,721,23939,48,10,1,16606.87,0.223,0
1,75588,0.277,709,26208,60,0.5,0,13255.44,0.382,1
0,54026,0.404,672,12033,24,0.6,1,9887.04,0.397,0
1,40539,0.44,645,26873,36,1.6,0,19659.47,0.578,0
1,40476,0.386,632,6955,36,1.2,2,14995.81,0.511,0
1,49189,0.242,743,24998,12,5.1,3,27171.3,0.298,0
0,50214,0.266,719,28192,48,1,0,28880.84,0.321,0
0,46870,0.426,687,11725,12,2,2,20844.8,0.309,1
0,69039,0.357,728,18952,48,4.3,3,21519.97,0.291,0
1,50884,0.284,750,15631,48,6.1,2,13761.9,0.382,0
0,70921,0.288,761,24784,48,2.8,0,20573.57,0.237,0
0,65896,0.237,721,29331,24,0.1,2,18038.99,0.284,0
0,54702,0.322,678,9065,24,4.1,1,21666,0.342,1
1,53607,0.477,680,18235,36,8,2,-3087.79,0.513,0
0,25508,0.429,632,22988,12,0.8,1,24115,0.642,0
0,62180,0.555,630,8656,60,6,1,23496.41,0.425,0
0,63658,0.225,739,20901,48,3.6,0,19190.34,0.338,0
0,53727,0.321,723,24343,36,5.2,1,19254.88,0.305,0
0,68926,0.245,747,19281,36,2.2,1,25646.66,0.398,0
0,63498,0.315,689,5163,48,7.3,2,13773.29,0.351,1
0,69459,0.343,691,29866,24,11.3,3,13539.52,0.27,1
1,60074,0.378,753,18072,48,1.6,0,19235.85,0.297,0
0,60386,0.205,723,22968,48,2.3,0,14464.01,0.295,0
1,30545,0.51,661,7155,12,1.3,1,13180.16,0.389,0
0,51715,0.292,755,23601,24,2.5,5,22310.96,0.288,0
1,55952,0.274,699,9458,48,1,1,27750.47,0.292,0
0,59838,0.259,713,20484,36,6.1,1,22558.07,0.389,0
0,55574,0.273,727,10819,60,12.6,4,25021.54,0.246,0
1,44675,0.382,714,19294,36,0.4,0,23390.1,0.373,1
0,75421,0.254,706,21109,36,5.4,2,30430.94,0.292,1
0,74556,0.29,709,29436,60,2.5,0,20425.86,0.319,0
1,71913,0.31,719,18985,48,7.5,1,9889.6,0.344,0
0,56773,0.281,657,12499,60,2.7,4,15229.4,0.263,1
0,64731,0.314,727,13952,24,2.9,2,20119.37,0.344,0
0,64914,0.292,738,9976,36,0,1,25399.04,0.268,0
0,62576,0.355,705,11896,36,1.7,3,26046.8,0.293,0
0,67070,0.319,686,13136,36,0.4,2,20043.87,0.276,1
0,42753,0.35,695,14302,36,0.4,2,8642.44,0.404,1
0,64217,0.325,721,5216,48,4.9,1,25742.45,0.271,0
1,59284,0.335,670,17774,36,1.7,1,21192.72,0.317,1
1,67751,0.325,721,8654,48,2.3,3,18437.64,0.231,0
1,72768,0.376,635,29086,60,0.9,2,13413.01,0.6,0
1,38674,0.389,604,7358,36,3.5,2,5499.85,0.447,0
1,34139,0.411,678,29172,24,2.6,3,14784.29,0.448,1
0,73282,0.21,742,12508,36,4.4,1,14653.12,0.261,0
1,73454,0.36,712,27380,36,7.8,1,15676.35,0.322,1
0,64091,0.316,736,26584,48,0.7,0,21944.46,0.233,0
0,51961,0.336,718,29882,60,4.9,0,19415.83,0.283,0
1,63974,0.382,740,7213,36,0.1,0,18635.93,0.295,0
1,39505,0.333,691,27905,36,10.2,1,13375.63,0.246,0
0,58938,0.323,674,27043,36,2.8,0,15551.81,0.337,1
1,52275,0.296,726,13266,48,2.3,1,21260.74,0.323,0
0,55182,0.296,720,28842,36,3.9,2,9454.6,0.331,0
0,46791,0.331,732,5576,48,4.2,0,12887.73,0.207,0
0,29850,0.43,592,17779,48,4,2,14480.41,0.465,0
0,73528,0.262,747,21693,36,4,0,23396.41,0.186,0
0,45045,0.322,713,17814,48,0.8,2,18142.78,0.277,1
0,57569,0.398,745,9339,60,2.7,3,9114.26,0.298,0
0,53201,0.322,682,16228,60,3.3,1,17971.55,0.282,0
0,52751,0.318,741,27723,24,7.6,0,21463.13,0.28,0
0,65180,0.289,675,11885,24,6.2,1,10062.34,0.316,0
0,65796,0.356,706,21180,60,0.7,2,22807.94,0.226,0
0,66189,0.242,724,29597,36,19.1,2,21182.78,0.254,0
0,52482,0.241,743,5010,48,1,1,24663.34,0.289,0
1,55084,0.296,696,19765,36,0.6,0,15998.32,0.285,1
1,88591,0.378,655,22858,36,1.8,4,11345.03,0.389,0
0,57785,0.244,723,16405,24,5.9,2,16240.91,0.265,0
1,40245,0.28,742,10731,48,11.7,1,22847.92,0.3,0
0,64643,0.358,734,24028,36,1.2,3,19939.8,0.279,0
1,62576,0.309,699,11396,48,3.3,0,25946.74,0.341,0
0,62678,0.332,714,9496,36,4.5,1,19203.65,0.369,1
0,49680,0.34,713,6777,36,0.9,0,23209.44,0.235,0
1,30166,0.469,683,24513,48,0.8,2,47.34,0.554,1
0,59501,0.329,724,27965,24,1.5,1,18737.66,0.267,0
0,67399,0.256,729,10653,48,6.5,2,18988.14,0.229,0
1,66801,0.435,662,6107,24,2,2,14784.38,0.472,0
0,61227,0.16,722,28823,36,16.8,2,15539.51,0.263,0
0,60194,0.336,687,19753,24,12.2,2,16527.18,0.366,1
1,37163,0.357,570,8945,60,2.6,2,15247.28,0.427,0
1,71712,0.3,695,26334,48,4.7,1,22901.92,0.249,0
1,57858,0.424,743,9396,36,14.9,4,21228.46,0.295,0
1,63726,0.261,711,19000,12,2.4,2,19414.13,0.377,0
0,74510,0.356,761,12784,60,9.6,1,21465.38,0.33,0
1,69504,0.271,733,9455,36,2.2,2,19423.64,0.218,0
0,62132,0.27,773,25509,24,4.7,1,27357.18,0.382,0
1,62210,0.277,704,5143,36,2.6,2,14389.83,0.467,1
0,72927,0.246,705,14350,12,4.1,3,24248.09,0.265,0
1,56463,0.339,743,11125,12,0.6,0,17854.62,0.302,0
0,49026,0.32,758,13851,36,16.5,1,20807.38,0.313,0
1,61279,0.303,585,20678,24,0.6,1,8438.6,0.589,0
0,47476,0.302,711,22908,24,4.5,0,26486.95,0.301,0
0,79916,0.32,706,25722,12,1,2,23578.93,0.266,1
0,57965,0.297,715,6137,36,4.3,0,23268.57,0.301,0
0,46107,0.25,735,28677,12,5.6,1,21051.41,0.29,0
0,73887,0.383,728,17558,48,8.4,2,27466.01,0.255,0
1,52906,0.294,693,11658,36,1.6,3,23670.48,0.234,0
1,73655,0.264,687,12194,24,0.6,1,27448.19,0.312,1
0,82888,0.26,721,22428,36,1,3,12797.13,0.309,0
0,64564,0.482,642,18363,12,0.1,1,29498.69,0.472,0
1,85490,0.388,713,9039,60,2.3,0,27395.59,0.312,1
0,61838,0.374,727,21307,12,14.1,0,14798.76,0.226,0
0,66683,0.315,718,11483,24,11.1,0,23798.03,0.324,0
0,64392,0.305,737,23308,24,10.1,2,15822.65,0.258,0
0,58838,0.261,678,18575,36,0.3,2,19223.68,0.228,1
1,71870,0.229,706,8284,48,2.1,0,18429.91,0.345,0
1,54647,0.296,742,23121,36,3.1,0,7901.88,0.312,0
1,42530,0.409,631,14927,24,2,1,9126.86,0.488,0
0,52040,0.244,682,6126,36,0.1,2,16191.38,0.263,0
0,56387,0.281,658,19224,48,0.4,2,20524.12,0.31,1
0,70532,0.209,721,26275,24,0.2,1,30071.98,0.277,0
1,59644,0.258,700,7359,48,23.8,2,27795.45,0.316,0
0,58430,0.375,686,15144,60,1.5,3,22694.39,0.32,1
0,60733,0.328,703,26717,48,7.9,2,14056.02,0.242,0
1,64997,0.279,722,27028,12,1.3,1,13744.32,0.281,0
0,80860,0.258,682,17421,24,6.2,1,28252.59,0.251,0
0,63741,0.234,729,16208,24,7,2,23577.05,0.289,0
0,63860,0.231,712,9168,24,7.5,0,16267.29,0.244,0
1,27745,0.346,656,14336,24,0.1,1,21165.64,0.449,0
1,63798,0.317,757,17514,60,0.2,0,15873.12,0.377,0
0,70801,0.234,757,9232,24,4.5,2,20807.57,0.242,0
0,71464,0.343,695,13024,36,6.9,0,16355.92,0.215,1
0,61927,0.412,720,20104,24,13.2,1,28024.68,0.307,0
1,52143,0.467,679,10265,48,11.5,2,19923.21,0.38,1
0,60225,0.286,763,19725,36,1,3,23272.44,0.332,0
1,61847,0.308,791,9265,36,5.5,0,23080.5,0.374,0
1,60911,0.261,745,6681,24,12.7,3,13541.96,0.326,0
1,64680,0.31,716,16498,24,14.8,1,11201.07,0.292,0
0,72446,0.36,730,14107,24,11.3,0,19091.97,0.331,0
0,71210,0.306,673,10521,12,2.2,0,22985.96,0.351,1
0,52654,0.246,693,23441,36,1.9,1,28367.72,0.322,0
0,42751,0.281,751,21054,36,4.8,2,21375.3,0.334,0
1,54612,0.254,711,16247,36,1.1,1,18166.61,0.269,0
1,59649,0.266,721,17782,36,0.1,0,12733.26,0.254,0
1,41156,0.402,629,28028,12,1.2,2,13696.99,0.448,0
1,24301,0.351,578,17750,24,1.4,1,23193.51,0.531,0
1,66595,0.309,649,11924,36,1.8,0,20222.18,0.197,1
0,63819,0.369,704,17993,36,6.6,1,15430.84,0.383,1
0,58528,0.34,699,15647,36,3.8,3,16742.08,0.324,0
0,39286,0.301,691,6764,48,0.4,2,25823.79,0.325,1
1,32525,0.343,672,22443,36,18.8,1,6730.02,0.363,1
0,53228,0.336,729,21599,48,2.1,3,12434.89,0.346,0
0,42563,0.319,720,24799,48,5.6,0,21302.1,0.281,0
0,60324,0.329,759,23409,48,2.3,1,16949.57,0.283,0
1,57515,0.378,688,6015,48,0.8,2,17806.44,0.292,1
0,51561,0.333,655,25787,12,2.2,1,19975.99,0.171,1
1,48234,0.42,627,5421,24,28.3,1,12558.73,0.461,0
1,46578,0.348,667,13222,36,0.9,3,19656.28,0.597,1
1,49756,0.296,718,27808,36,1.7,2,26145.94,0.273,0
0,65033,0.329,755,17346,36,4.6,1,20361.21,0.413,0
0,49927,0.394,567,22934,36,7.3,2,17405.29,0.476,0
0,49377,0.355,682,12439,24,13.4,1,15160.9,0.449,1
0,70601,0.26,706,7988,36,3.7,2,19617.14,0.313,0
0,70241,0.303,725,22479,60,11.3,2,18131.48,0.328,0
1,63958,0.323,710,22203,48,5.2,1,23953.25,0.244,0
1,53726,0.286,740,5317,36,0.2,2,16289.27,0.242,0
